acc_x,acc_y,acc_z
0.104,0.205,1.073
0.173,0.204,1.085
0.179,0.179,1.103
0.234,0.168,1.05
0.248,0.153,0.852
0.295,0.044,0.808
0.303,0.038,0.881
0.37,0.007,0.983
0.38,0.0,1.029
0.294,0.007,0.978
0.224,0.018,0.955
0.219,0.047,0.986
0.236,0.081,1.013
0.25,0.113,0.983
0.26,0.139,0.987
0.263,0.144,1.025
0.341,0.152,1.048
0.349,0.16,1.008
0.259,0.147,0.968
0.174,0.145,0.957
0.136,0.16,0.972
0.073,0.154,0.994
0.023,0.178,1.015
-0.041,0.148,1.0
-0.037,0.089,0.957
-0.067,0.092,0.97
-0.067,0.087,1.017
0.004,0.072,1.005
0.143,0.034,0.962
0.369,-0.02,0.889
0.511,-0.039,0.847
0.423,0.021,0.907
0.407,0.059,0.983
0.437,0.089,1.044
0.361,0.104,1.014
0.317,0.098,0.968
0.325,0.088,0.948
0.311,0.067,0.966
0.321,0.071,0.962
0.368,0.051,0.94
0.429,0.037,0.937
0.429,0.028,0.947
0.404,0.012,0.949
0.38,-0.001,0.938
0.344,-0.002,0.913
0.333,-0.003,0.892
0.347,0.004,0.878
0.37,-0.002,0.893
0.375,0.01,0.906
0.339,0.042,0.943
0.229,0.117,0.999
0.124,0.199,1.063
0.063,0.241,1.118
0.077,0.221,1.135
0.108,0.205,1.093
0.177,0.23,0.949
0.302,0.101,0.839
0.362,0.041,0.826
0.38,0.031,0.898
0.36,0.009,1.01
0.333,0.03,1.035
0.269,0.05,0.971
0.242,0.066,0.955
0.252,0.074,0.994
0.267,0.091,0.995
0.297,0.131,1.008
0.319,0.141,1.012
0.275,0.143,0.978
0.203,0.149,0.96
0.081,0.163,0.992
-0.03,0.182,1.049
-0.161,0.202,1.052
-0.115,0.154,1.01
0.02,0.08,0.961
0.018,0.029,0.946
0.049,0.02,1.018
0.048,0.022,0.985
0.139,-0.019,0.886
0.26,-0.014,0.869
0.333,0.019,0.931
0.427,0.054,1.003
0.417,0.083,1.06
0.291,0.127,1.048
0.146,0.123,1.016
0.084,0.13,0.995
0.135,0.125,0.993
0.255,0.098,0.986
0.358,0.059,0.989
0.358,0.035,0.979
0.305,0.038,0.953
0.256,0.032,0.943
0.241,0.03,0.946
0.282,0.019,0.934
0.347,0.003,0.912
0.354,-0.006,0.913
0.363,0.002,0.928
0.299,0.04,0.938
0.212,0.071,0.966
0.138,0.128,1.023
0.114,0.187,1.071
0.162,0.203,1.083
0.192,0.185,1.082
0.203,0.173,1.108
0.238,0.179,1.05
0.219,0.13,0.89
0.286,0.041,0.822
0.392,0.04,0.842
0.393,0.001,0.929
0.291,0.043,1.005
0.275,0.055,1.03
0.288,0.066,0.989
0.313,0.093,0.995
0.344,0.085,1.023
0.334,0.085,0.981
0.299,0.092,0.956
0.309,0.085,0.963
0.312,0.109,0.974
0.218,0.127,0.976
0.105,0.146,0.995
0.059,0.143,1.055
0.042,0.149,1.097
-0.031,0.141,1.008
0.061,0.048,0.926
0.043,0.056,0.909
0.051,0.009,0.907
0.029,0.02,0.965
0.018,0.02,0.964
0.212,-0.018,0.937
0.293,0.022,0.959
0.366,0.039,1.005
0.427,0.051,1.043
0.336,0.097,1.03
0.287,0.119,0.999
0.213,0.105,0.987
0.202,0.108,0.993
0.21,0.096,0.99
0.252,0.084,0.969
0.282,0.067,0.945
0.309,0.051,0.945
0.341,0.033,0.978
0.357,0.009,0.994
0.336,-0.014,0.96
0.358,-0.012,0.915
0.38,-0.009,0.897
0.346,-0.005,0.914
0.269,0.028,0.945
0.168,0.067,0.97
0.106,0.121,0.982
0.184,0.155,1.015
0.272,0.186,1.038
0.218,0.191,1.06
0.184,0.195,1.063
0.198,0.161,1.086
0.228,0.146,0.987
0.249,0.127,0.846
0.252,0.052,0.857
0.336,0.004,0.939
0.371,-0.021,1.024
0.315,0.008,1.047
0.232,0.004,0.988
0.21,0.013,0.943
0.249,0.02,0.943
0.344,0.033,0.964
0.372,0.05,0.98
0.338,0.084,0.986
0.31,0.124,0.998
0.273,0.159,1.002
0.165,0.187,0.995
0.002,0.211,0.977
-0.009,0.216,1.019
-0.055,0.218,1.071
-0.152,0.221,1.087
-0.197,0.15,1.048
-0.209,0.057,0.945
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.257,0.094,0.96
0.189,0.135,0.983
0.183,0.169,1.015
0.222,0.196,1.047
0.256,0.213,1.041
0.277,0.193,1.021
0.269,0.185,1.048
0.156,0.205,1.0
0.192,0.146,0.922
0.324,0.075,0.875
0.446,0.02,0.829
0.485,-0.043,0.914
0.464,-0.029,0.957
0.399,-0.024,0.954
0.354,0.008,0.944
0.299,0.041,0.955
0.276,0.072,0.971
0.276,0.112,0.983
0.318,0.137,1.009
0.414,0.151,1.024
0.421,0.159,0.99
0.311,0.161,0.941
0.106,0.198,0.941
-0.046,0.241,0.995
-0.178,0.237,1.062
-0.085,0.199,1.08
0.109,0.148,1.048
0.18,0.066,0.976
0.081,0.054,0.96
-0.014,0.077,0.975
0.047,0.049,0.96
0.202,-0.01,0.877
0.349,-0.019,0.847
0.405,0.002,0.854
0.496,0.028,0.929
0.529,0.063,1.02
0.411,0.103,1.049
0.316,0.099,1.002
0.237,0.087,0.967
0.227,0.082,0.97
0.277,0.071,0.956
0.383,0.057,0.947
0.462,0.03,0.957
0.451,0.006,0.937
0.406,-0.004,0.909
0.383,-0.019,0.89
0.372,-0.026,0.899
0.353,0.007,0.915
0.287,0.068,0.927
0.196,0.133,0.973
0.125,0.175,1.035
0.106,0.218,1.088
0.131,0.216,1.11
0.147,0.213,1.089
0.118,0.217,0.967
0.242,0.123,0.85
0.341,0.083,0.822
0.38,0.042,0.864
0.37,-0.006,0.975
0.388,0.023,1.014
0.361,-0.001,0.984
0.327,0.003,0.942
0.341,0.044,0.937
0.333,0.052,0.977
0.321,0.063,1.005
0.267,0.107,1.004
0.194,0.172,1.038
0.157,0.205,1.06
0.149,0.191,1.033
0.225,0.171,0.973
0.264,0.147,0.933
0.147,0.148,0.963
0.022,0.165,1.043
-0.135,0.171,1.087
-0.205,0.132,1.047
-0.132,0.084,0.964
-0.109,0.061,0.927
-0.092,0.068,0.963
-0.069,0.061,0.994
0.108,-0.012,0.924
0.295,-0.068,0.809
0.389,-0.028,0.844
0.437,-0.004,0.924
0.558,0.034,1.029
0.419,0.053,1.069
0.209,0.092,1.024
0.094,0.089,0.979
0.07,0.078,0.947
0.152,0.086,0.968
0.28,0.078,1.019
0.368,0.066,1.036
0.385,0.048,1.005
0.302,0.023,0.937
0.243,0.032,0.922
0.238,0.038,0.958
0.248,0.027,0.967
0.259,0.013,0.942
0.24,0.007,0.886
0.232,0.005,0.857
0.315,0.039,0.899
0.391,0.109,0.992
0.326,0.16,1.078
0.211,0.226,1.139
0.093,0.244,1.117
0.08,0.219,1.124
0.143,0.202,1.008
0.182,0.161,0.825
0.291,0.046,0.819
0.396,0.022,0.883
0.45,0.002,0.983
0.412,-0.005,1.039
0.33,-0.003,1.008
0.308,0.006,0.955
0.318,0.015,0.957
0.359,0.015,0.971
0.364,0.026,0.941
0.335,0.061,0.955
0.325,0.126,1.006
0.292,0.19,1.032
0.171,0.216,0.994
0.07,0.214,0.962
-0.011,0.227,0.936
-0.105,0.263,0.957
-0.149,0.265,1.056
-0.198,0.21,1.123
-0.255,0.131,1.084
-0.256,0.113,1.014
-0.144,0.041,0.963
0.007,0.008,0.949
-0.004,0.01,0.905
0.102,-0.02,0.843
0.183,-0.026,0.826
0.251,-0.027,0.893
0.378,-0.013,0.993
0.445,0.032,1.04
0.405,0.05,1.014
0.298,0.052,0.969
0.206,0.055,0.952
0.208,0.077,0.963
0.307,0.071,0.997
0.364,0.053,1.009
0.409,0.043,0.987
0.396,0.021,0.952
0.355,0.013,0.943
0.298,0.008,0.935
0.286,0.002,0.935
0.308,0.0,0.936
0.34,-0.007,0.913
0.372,-0.002,0.894
0.354,0.028,0.912
0.275,0.078,0.943
0.129,0.133,0.979
0.115,0.187,1.056
0.223,0.213,1.09
0.281,0.172,1.053
0.375,0.129,1.034
0.341,0.164,0.974
0.294,0.099,0.848
0.314,0.049,0.842
0.361,0.009,0.903
0.422,-0.042,0.978
0.425,-0.014,1.015
0.402,-0.028,0.991
0.417,-0.009,0.946
0.372,0.015,0.951
0.329,0.034,0.989
0.277,0.076,1.007
0.222,0.14,1.024
0.219,0.185,1.042
0.203,0.199,1.017
0.18,0.193,0.98
0.144,0.19,0.99
0.124,0.205,1.066
0.015,0.229,1.102
-0.184,0.157,1.013
-0.227,0.054,0.917
-0.165,0.029,0.92
-0.102,-0.012,0.979
-0.047,-0.048,0.979
0.013,-0.068,0.87
0.078,-0.065,0.772
0.188,-0.033,0.812
0.363,-0.012,0.955
0.516,0.019,1.083
0.452,0.042,1.096
0.361,0.068,1.02
0.235,0.045,0.939
0.209,0.032,0.924
0.251,0.021,0.97
0.352,0.013,1.006
0.436,0.007,1.013
0.405,0.002,0.981
0.345,-0.019,0.908
0.294,-0.034,0.867
0.283,-0.04,0.894
0.31,-0.021,0.95
0.339,0.023,0.974
0.295,0.057,0.965
0.168,0.1,0.968
0.094,0.141,1.014
0.081,0.185,1.074
0.105,0.201,1.099
0.133,0.187,1.069
0.218,0.143,1.07
0.272,0.14,0.991
0.234,0.077,0.881
0.258,0.065,0.85
0.274,0.026,0.886
0.378,-0.034,0.962
0.441,-0.022,1.005
0.372,-0.027,0.97
0.338,0.005,0.953
0.306,0.021,0.978
0.3,0.042,0.988
0.215,0.095,0.986
0.188,0.138,1.002
0.215,0.154,1.025
0.21,0.157,1.021
0.226,0.155,1.035
0.195,0.148,1.042
0.023,0.147,1.002
-0.156,0.171,0.98
-0.216,0.151,0.995
-0.231,0.111,1.016
-0.159,0.113,1.057
-0.128,0.07,1.054
-0.009,0.009,1.001
0.09,-0.034,0.922
0.14,-0.075,0.828
0.272,-0.085,0.766
0.344,-0.052,0.841
0.442,-0.017,0.99
0.554,0.008,1.085
0.423,0.042,1.087
0.283,0.094,1.004
0.168,0.087,0.936
0.141,0.088,0.929
0.24,0.073,0.972
0.363,0.042,1.011
0.408,0.016,1.004
0.389,-0.003,0.957
0.339,-0.022,0.903
0.291,-0.031,0.888
0.292,-0.029,0.903
0.301,-0.037,0.916
0.309,-0.015,0.938
0.3,0.014,0.969
0.27,0.073,1.019
0.167,0.135,1.045
0.079,0.159,1.072
0.088,0.182,1.095
0.144,0.171,1.068
0.194,0.162,1.057
0.204,0.132,0.979
0.307,0.078,0.885
0.353,0.035,0.843
0.457,-0.021,0.84
0.466,-0.047,0.889
0.39,-0.051,0.966
0.341,-0.054,0.99
0.358,-0.025,0.966
0.346,-0.019,0.977
0.354,0.003,0.992
0.363,0.036,0.964
0.35,0.068,0.977
0.346,0.095,1.009
0.321,0.115,1.011
0.261,0.144,0.966
0.209,0.149,0.937
0.112,0.154,0.954
-0.072,0.18,1.005
-0.281,0.206,1.061
-0.355,0.159,1.086
-0.358,0.124,1.038
-0.361,0.091,0.984
-0.174,0.029,0.963
-0.027,-0.015,0.925
0.114,-0.096,0.843
0.332,-0.15,0.752
0.444,-0.094,0.774
0.543,-0.071,0.935
0.586,-0.014,1.083
0.437,0.069,1.067
0.174,0.063,0.988
0.045,0.085,0.949
0.108,0.084,0.973
0.256,0.055,1.02
0.403,0.038,1.03
0.438,0.013,0.975
0.353,-0.012,0.909
0.308,-0.029,0.886
0.308,-0.031,0.919
0.356,-0.034,0.95
0.407,-0.038,0.955
0.403,-0.026,0.939
0.303,-0.002,0.923
0.224,0.028,0.925
0.193,0.069,0.966
0.162,0.105,1.026
0.112,0.153,1.072
0.07,0.183,1.093
0.092,0.17,1.066
0.169,0.13,1.064
0.254,0.136,1.007
0.303,0.106,0.875
0.337,0.043,0.847
0.333,0.024,0.897
0.356,-0.023,0.983
0.333,-0.02,1.049
0.344,-0.021,1.012
0.364,-0.018,0.948
0.367,-0.018,0.965
0.389,0.02,0.998
0.37,0.055,0.98
0.343,0.072,0.97
0.279,0.087,0.95
0.256,0.104,0.943
0.234,0.142,0.949
0.101,0.154,0.963
-0.207,0.187,1.01
-0.431,0.222,1.027
-0.49,0.176,0.986
-0.349,0.11,0.966
-0.226,0.095,0.982
-0.164,0.03,0.985
-0.046,0.014,0.972
-0.001,-0.004,0.894
0.142,-0.028,0.87
0.237,-0.015,0.939
0.242,0.018,1.015
0.299,0.028,1.057
0.281,0.05,1.045
0.202,0.093,0.99
0.187,0.088,0.945
0.227,0.058,0.95
0.32,0.057,1.012
0.335,0.062,1.049
0.317,0.061,1.016
0.285,0.024,0.95
0.277,0.009,0.91
0.3,-0.003,0.941
0.292,-0.01,0.978
0.299,-0.019,0.972
0.299,-0.021,0.936
0.272,-0.017,0.9
0.249,-0.005,0.887
0.246,0.035,0.924
0.248,0.093,1.014
0.192,0.137,1.094
0.143,0.18,1.129
0.17,0.161,1.108
0.18,0.139,1.07
0.207,0.14,0.967
0.227,0.076,0.854
0.26,0.063,0.849
0.333,0.014,0.896
0.372,-0.034,0.995
0.397,-0.018,1.02
0.347,-0.02,0.976
0.315,-0.001,0.975
0.261,0.031,0.995
0.198,0.063,0.982
0.143,0.095,0.99
0.189,0.139,1.035
0.248,0.163,1.02
0.323,0.149,0.98
0.378,0.114,0.982
0.285,0.098,0.996
0.032,0.131,0.961
-0.105,0.147,0.978
-0.293,0.133,1.014
-0.361,0.152,1.009
-0.282,0.116,1.014
-0.133,0.072,1.018
0.097,-0.005,0.974
0.233,-0.04,0.905
0.241,0.0,0.885
0.246,0.027,0.967
0.276,0.034,1.079
0.217,0.071,1.089
0.154,0.086,1.013
0.131,0.065,0.936
0.206,0.06,0.923
0.383,0.055,0.978
0.443,0.035,1.014
0.372,0.049,1.003
0.296,0.049,0.954
0.283,0.034,0.92
0.299,0.02,0.942
0.331,0.013,0.977
0.329,0.005,0.974
0.323,-0.009,0.936
0.323,-0.003,0.905
0.309,-0.004,0.903
0.316,-0.004,0.937
0.304,0.029,0.94
0.248,0.075,0.969
0.144,0.13,1.044
0.076,0.178,1.101
0.096,0.19,1.133
0.07,0.18,1.115
0.13,0.149,1.055
0.249,0.116,0.882
0.287,0.063,0.813
0.335,0.02,0.893
0.354,-0.01,0.99
0.341,0.008,1.03
0.301,-0.003,0.982
0.262,0.008,0.944
0.299,0.019,0.98
0.34,0.022,0.993
0.311,0.027,0.964
0.245,0.066,0.967
0.235,0.116,1.002
0.283,0.128,1.025
0.21,0.146,1.001
-0.013,0.172,0.929
-0.096,0.212,0.949
-0.135,0.205,1.034
-0.171,0.205,1.091
-0.108,0.136,1.071
-0.054,0.068,1.011
-0.073,0.054,0.964
-0.089,0.019,0.948
-0.123,0.042,0.969
-0.039,0.024,0.94
0.13,-0.021,0.862
0.325,-0.037,0.863
0.402,-0.012,0.957
0.461,0.015,1.044
0.437,0.054,1.08
0.303,0.07,1.048
0.241,0.078,0.988
0.206,0.068,0.941
0.229,0.051,0.949
0.311,0.044,0.991
0.358,0.036,1.002
0.367,0.02,0.99
0.331,0.015,0.954
0.291,0.011,0.934
0.296,0.004,0.952
0.315,0.001,0.967
0.305,-0.004,0.96
0.306,-0.011,0.946
0.298,-0.01,0.925
0.313,-0.019,0.909
0.297,-0.011,0.919
0.271,0.032,0.934
0.242,0.09,0.952
0.169,0.117,0.964
0.132,0.125,1.013
0.092,0.163,1.066
0.062,0.184,1.077
0.134,0.18,1.078
0.158,0.17,1.06
0.194,0.158,1.075
0.268,0.164,1.067
0.271,0.086,0.957
0.234,0.04,0.873
0.303,0.067,0.857
0.295,-0.025,0.932
0.25,-0.017,1.01
0.328,-0.009,1.021
0.339,-0.023,0.994
0.309,-0.017,0.958
0.302,-0.021,0.952
0.343,-0.018,0.958
0.343,0.003,0.94
0.277,0.034,0.946
0.245,0.098,0.987
0.189,0.149,1.006
0.157,0.161,0.996
0.075,0.178,1.015
-0.031,0.187,1.01
-0.045,0.179,0.998
-0.071,0.194,0.984
-0.097,0.16,1.008
-0.119,0.099,1.047
-0.15,0.084,1.012
-0.204,0.071,0.978
-0.18,0.034,0.972
-0.073,0.021,0.954
0.049,0.009,0.898
0.176,0.006,0.881
0.341,0.01,0.954
0.442,-0.008,1.019
0.48,0.008,1.036
0.443,0.041,0.995
0.357,0.033,0.958
0.324,0.046,0.959
0.279,0.052,0.996
0.242,0.073,1.001
0.291,0.07,0.995
0.338,0.037,0.957
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.089,0.287,1.022
-0.141,0.279,1.125
-0.174,0.221,1.093
-0.119,0.085,0.941
-0.165,-0.012,0.872
-0.262,0.01,0.952
-0.184,-0.012,1.052
0.03,-0.054,1.03
0.117,-0.088,0.939
0.119,-0.078,0.893
0.175,-0.029,0.961
0.187,0.028,1.072
0.168,0.093,1.115
0.122,0.122,1.095
0.056,0.13,1.046
-0.005,0.123,0.979
-0.002,0.1,0.958
0.047,0.081,0.995
0.122,0.047,1.023
0.153,-0.007,1.002
0.143,-0.044,0.966
0.179,-0.04,0.964
0.266,-0.01,1.009
0.233,0.013,1.018
0.118,0.047,1.007
0.001,0.114,0.995
-0.148,0.196,0.976
-0.155,0.251,0.995
-0.045,0.261,1.075
0.063,0.252,1.099
0.162,0.185,0.976
0.155,0.071,0.898
0.159,0.025,0.928
0.188,-0.027,0.988
0.197,-0.041,1.036
0.145,-0.062,1.011
0.193,-0.07,0.985
0.221,-0.065,0.98
0.23,-0.039,0.988
0.255,-0.003,0.998
0.251,0.045,1.008
0.226,0.109,1.026
0.127,0.153,0.995
0.023,0.182,0.947
-0.018,0.208,0.952
-0.092,0.218,0.976
-0.075,0.204,1.038
-0.111,0.188,1.088
-0.197,0.155,1.054
-0.176,0.087,0.994
-0.211,0.046,0.967
-0.191,0.028,1.001
-0.119,0.0,0.996
-0.073,-0.022,0.979
-0.012,-0.037,0.944
0.16,-0.063,0.892
0.227,-0.039,0.927
0.246,0.008,1.007
0.351,0.044,1.064
0.276,0.058,1.071
0.152,0.071,1.032
0.08,0.081,0.99
0.052,0.071,0.973
0.159,0.057,0.996
0.257,0.034,1.03
0.288,-0.014,1.027
0.283,-0.042,0.974
0.271,-0.056,0.941
0.229,-0.051,0.927
0.194,-0.035,0.947
0.094,0.01,0.96
0.063,0.052,0.989
0.122,0.103,1.049
0.115,0.153,1.075
0.013,0.188,1.027
0.039,0.226,1.014
-0.007,0.243,1.032
0.031,0.217,1.034
0.18,0.146,0.984
0.258,0.049,0.915
0.341,-0.019,0.924
0.308,-0.068,1.008
0.278,-0.059,1.049
0.223,-0.06,1.023
0.208,-0.056,0.983
0.23,-0.049,0.968
0.267,-0.037,0.974
0.298,-0.011,0.997
0.326,0.039,1.032
0.224,0.095,1.006
0.017,0.129,0.902
-0.097,0.183,0.854
-0.097,0.233,0.914
-0.132,0.247,1.027
-0.108,0.25,1.128
-0.099,0.163,1.097
-0.131,0.075,1.019
-0.172,0.048,0.978
-0.237,0.022,0.997
-0.277,0.036,1.015
-0.124,0.003,0.984
0.127,-0.068,0.888
0.259,-0.055,0.864
0.231,0.005,0.961
0.272,0.035,1.065
0.305,0.069,1.137
0.138,0.105,1.09
0.038,0.094,1.011
-0.017,0.075,0.952
0.022,0.049,0.946
0.159,0.036,1.011
0.255,0.028,1.052
0.264,0.001,1.018
0.242,-0.018,0.968
0.207,-0.014,0.947
0.197,0.003,0.964
0.143,0.05,1.019
-0.013,0.094,1.033
-0.081,0.122,0.981
-0.04,0.142,0.949
0.026,0.181,0.997
0.093,0.187,1.095
0.103,0.176,1.046
0.186,0.125,0.948
0.192,0.068,0.921
0.181,0.061,0.954
0.198,0.021,1.019
0.229,-0.022,1.068
0.242,-0.039,1.046
0.194,-0.047,0.984
0.176,-0.024,0.973
0.194,-0.018,0.984
0.227,0.003,0.985
0.234,0.026,0.984
